 這封模擬郵件中，你覺得最可疑的地方是？  ,  看到登入頁後，你覺得它的可信度如何？  ,  接受這次訓練後，你對釣魚郵件的警覺性有提升嗎？  ,你最希望未來加強哪方面的反詐騙技巧？ ,  你覺得這次模擬體驗的真實度如何？,participant_id
寄件者地址,4,4,假網頁辨識,3,P0083
寄件者地址,3,4,社交工程的心理技巧,5,P0084
網頁或郵件設計不一致,3,4,URL/網域檢查,4,P0085
郵件語氣過於急迫,4,5,URL/網域檢查,3,P0086
郵件語氣過於急迫,4,4,URL/網域檢查,3,P0087
內容用字或表達方式異常,4,3,假網頁辨識,5,P0088
郵件語氣過於急迫,3,4,URL/網域檢查,5,P0089
"寄件者地址, 按鈕網址",4,5,URL/網域檢查,1,P0090
郵件語氣過於急迫,1,5,社交工程的心理技巧,1,P0091
按鈕網址,4,4,社交工程的心理技巧,3,P0092
"按鈕網址, 內容用字或表達方式異常",1,5,社交工程的心理技巧,5,P0093
"寄件者地址, 按鈕網址, 內容用字或表達方式異常",2,4,假網頁辨識,3,P0094
"寄件者地址, 郵件語氣過於急迫, 內容用字或表達方式異常",1,5,URL/網域檢查,5,P0095
"寄件者地址, 郵件語氣過於急迫, 按鈕網址, 網頁或郵件設計不一致, 內容用字或表達方式異常",3,4,URL/網域檢查,4,P0096
按鈕網址,3,5,假網頁辨識,5,P0097
網頁或郵件設計不一致,1,4,假網頁辨識,4,P0098
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",2,4,假網頁辨識,4,P0099
"寄件者地址, 按鈕網址, 網頁或郵件設計不一致, 當下沒有特別察覺到可疑之處",4,4,URL/網域檢查,5,P0100
內容用字或表達方式異常,4,4,URL/網域檢查,4,P0101
"寄件者地址, 郵件語氣過於急迫, 網頁或郵件設計不一致",1,5,假網頁辨識,3,P0102
"寄件者地址, 按鈕網址, 網頁或郵件設計不一致, 內容用字或表達方式異常",1,4,寄件者驗證,5,P0103
寄件者地址,3,4,假網頁辨識,5,P0104
當下沒有特別察覺到可疑之處,4,4,假網頁辨識,5,P0105
寄件者地址,1,5,URL/網域檢查,5,P0106
當下沒有特別察覺到可疑之處,4,5,假網頁辨識,5,P0107
當下沒有特別察覺到可疑之處,4,5,假網頁辨識,5,P0108
按鈕網址,3,4,假網頁辨識,4,P0109
郵件語氣過於急迫,2,5,寄件者驗證,5,P0110
"寄件者地址, 郵件語氣過於急迫, 按鈕網址, 網頁或郵件設計不一致, 內容用字或表達方式異常",2,4,寄件者驗證,4,P0111
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",4,4,URL/網域檢查,2,P0112
"寄件者地址, 按鈕網址",1,4,社交工程的心理技巧,2,P0113
"寄件者地址, 郵件語氣過於急迫, 內容用字或表達方式異常",4,2,假網頁辨識,4,P0114
"郵件語氣過於急迫, 按鈕網址",3,5,寄件者驗證,5,P0115
寄件者地址,3,4,URL/網域檢查,3,P0116
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",2,5,假網頁辨識,4,P0117
"郵件語氣過於急迫, 按鈕網址, 網頁或郵件設計不一致",4,3,寄件者驗證,5,P0118
按鈕網址,4,5,寄件者驗證,5,P0119
寄件者地址,5,4,社交工程的心理技巧,5,P0120
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",2,4,URL/網域檢查,4,P0121
按鈕網址,4,5,假網頁辨識,4,P0122
內容用字或表達方式異常,4,2,寄件者驗證,5,P0123
"按鈕網址, 網頁或郵件設計不一致",5,4,寄件者驗證,4,P0124
網頁或郵件設計不一致,5,5,URL/網域檢查,3,P0125
寄件者地址,4,4,寄件者驗證,2,P0126
"郵件語氣過於急迫, 網頁或郵件設計不一致, 內容用字或表達方式異常",4,4,寄件者驗證,3,P0127
內容用字或表達方式異常,4,5,社交工程的心理技巧,4,P0128
郵件語氣過於急迫,3,3,假網頁辨識,4,P0129
"寄件者地址, 內容用字或表達方式異常",3,1,假網頁辨識,5,P0130
按鈕網址,3,5,社交工程的心理技巧,4,P0131
"寄件者地址, 郵件語氣過於急迫, 按鈕網址, 內容用字或表達方式異常",4,4,假網頁辨識,3,P0132
郵件語氣過於急迫,5,4,寄件者驗證,4,P0133
"按鈕網址, 網頁或郵件設計不一致",4,5,社交工程的心理技巧,4,P0134
"郵件語氣過於急迫, 網頁或郵件設計不一致",4,5,假網頁辨識,3,P0135
"郵件語氣過於急迫, 按鈕網址, 內容用字或表達方式異常",1,5,寄件者驗證,5,P0136
"寄件者地址, 按鈕網址, 網頁或郵件設計不一致",3,5,寄件者驗證,5,P0137
網頁或郵件設計不一致,5,4,URL/網域檢查,4,P0138
"郵件語氣過於急迫, 內容用字或表達方式異常",3,4,寄件者驗證,5,P0139
當下沒有特別察覺到可疑之處,5,5,假網頁辨識,5,P0140
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",5,4,URL/網域檢查,4,P0141
內容用字或表達方式異常,3,5,假網頁辨識,4,P0142
"郵件語氣過於急迫, 按鈕網址, 內容用字或表達方式異常",1,4,寄件者驗證,5,P0143
寄件者地址,3,4,URL/網域檢查,3,P0144
"郵件語氣過於急迫, 內容用字或表達方式異常",5,4,URL/網域檢查,4,P0145
"寄件者地址, 郵件語氣過於急迫, 按鈕網址, 網頁或郵件設計不一致, 內容用字或表達方式異常",3,5,寄件者驗證,5,P0146
內容用字或表達方式異常,3,5,寄件者驗證,4,P0147
網頁或郵件設計不一致,1,5,URL/網域檢查,4,P0148
"郵件語氣過於急迫, 按鈕網址",4,5,寄件者驗證,5,P0149
"按鈕網址, 網頁或郵件設計不一致, 內容用字或表達方式異常",3,4,URL/網域檢查,4,P0150
內容用字或表達方式異常,5,5,假網頁辨識,5,P0151
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",4,5,假網頁辨識,4,P0152
寄件者地址,4,5,URL/網域檢查,5,P0153
郵件語氣過於急迫,4,4,URL/網域檢查,3,P0154
網頁或郵件設計不一致,4,4,URL/網域檢查,2,P0155
"寄件者地址, 郵件語氣過於急迫, 內容用字或表達方式異常",3,4,社交工程的心理技巧,2,P0156
寄件者地址,4,2,社交工程的心理技巧,5,P0157
"寄件者地址, 按鈕網址, 內容用字或表達方式異常",4,4,URL/網域檢查,4,P0158
當下沒有特別察覺到可疑之處,4,3,URL/網域檢查,4,P0159
"寄件者地址, 郵件語氣過於急迫, 網頁或郵件設計不一致",4,5,URL/網域檢查,5,P0160
郵件語氣過於急迫,4,4,URL/網域檢查,3,P0161
郵件語氣過於急迫,5,4,社交工程的心理技巧,3,P0162
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",4,3,寄件者驗證,5,P0163
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",4,5,社交工程的心理技巧,3,P0164
郵件語氣過於急迫,5,5,寄件者驗證,4,P0165
"寄件者地址, 郵件語氣過於急迫, 網頁或郵件設計不一致",3,2,寄件者驗證,4,P0166
按鈕網址,5,3,假網頁辨識,4,P0167
"寄件者地址, 按鈕網址, 內容用字或表達方式異常",4,4,URL/網域檢查,4,P0168
當下沒有特別察覺到可疑之處,3,5,寄件者驗證,3,P0169
郵件語氣過於急迫,2,4,社交工程的心理技巧,4,P0170
"郵件語氣過於急迫, 網頁或郵件設計不一致, 內容用字或表達方式異常",4,4,寄件者驗證,3,P0171
"寄件者地址, 郵件語氣過於急迫, 按鈕網址, 內容用字或表達方式異常",1,4,寄件者驗證,5,P0172
郵件語氣過於急迫,3,5,社交工程的心理技巧,4,P0173
"寄件者地址, 郵件語氣過於急迫, 按鈕網址, 網頁或郵件設計不一致, 內容用字或表達方式異常",4,5,寄件者驗證,3,P0174
"郵件語氣過於急迫, 網頁或郵件設計不一致",2,5,假網頁辨識,5,P0175
郵件語氣過於急迫,1,5,寄件者驗證,3,P0176
按鈕網址,3,5,URL/網域檢查,5,P0177
"郵件語氣過於急迫, 按鈕網址, 內容用字或表達方式異常",1,4,假網頁辨識,5,P0178
"郵件語氣過於急迫, 網頁或郵件設計不一致, 內容用字或表達方式異常",1,5,假網頁辨識,4,P0179
"郵件語氣過於急迫, 按鈕網址",3,5,URL/網域檢查,4,P0180
郵件語氣過於急迫,5,4,寄件者驗證,5,P0181
"寄件者地址, 郵件語氣過於急迫, 按鈕網址, 內容用字或表達方式異常",5,5,寄件者驗證,5,P0182
"郵件語氣過於急迫, 按鈕網址",1,5,假網頁辨識,4,P0183
郵件語氣過於急迫,3,3,假網頁辨識,3,P0184
"郵件語氣過於急迫, 按鈕網址",5,5,假網頁辨識,5,P0185
寄件者地址,5,4,社交工程的心理技巧,5,P0186
"郵件語氣過於急迫, 按鈕網址, 網頁或郵件設計不一致",4,5,社交工程的心理技巧,4,P0187
"按鈕網址, 網頁或郵件設計不一致",4,4,寄件者驗證,4,P0188
"郵件語氣過於急迫, 按鈕網址",4,4,假網頁辨識,4,P0189
"寄件者地址, 郵件語氣過於急迫, 內容用字或表達方式異常",2,4,URL/網域檢查,4,P0190
"寄件者地址, 按鈕網址",4,4,URL/網域檢查,4,P0191
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",4,5,社交工程的心理技巧,4,P0192
按鈕網址,3,5,寄件者驗證,4,P0193
"寄件者地址, 按鈕網址, 內容用字或表達方式異常",3,4,URL/網域檢查,1,P0194
寄件者地址,2,5,社交工程的心理技巧,3,P0195
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",3,4,假網頁辨識,3,P0196
"郵件語氣過於急迫, 按鈕網址",3,3,寄件者驗證,4,P0197
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",2,5,寄件者驗證,5,P0198
"按鈕網址, 網頁或郵件設計不一致",2,5,假網頁辨識,5,P0199
按鈕網址,2,5,URL/網域檢查,4,P0200
按鈕網址,1,4,URL/網域檢查,5,P0201
寄件者地址,4,5,URL/網域檢查,3,P0202
當下沒有特別察覺到可疑之處,1,5,假網頁辨識,5,P0203
寄件者地址,4,4,社交工程的心理技巧,5,P0204
"郵件語氣過於急迫, 按鈕網址, 內容用字或表達方式異常",1,5,URL/網域檢查,4,P0205
寄件者地址,5,5,寄件者驗證,5,P0206
"寄件者地址, 郵件語氣過於急迫, 按鈕網址",4,5,寄件者驗證,3,P0207
"寄件者地址, 郵件語氣過於急迫",4,3,寄件者驗證,4,P0208
內容用字或表達方式異常,4,4,URL/網域檢查,4,P0209
