  您目前的身分為？（系級）  ,您是否經常使用 Moodle 教育平台？ ,   您之前是否接受過資安或釣魚防範訓練？  ,  當信件看起來「非常緊急」時，您有多容易立即點擊或回應？  ,  您平時會檢查 Email 的寄件者地址嗎？  ,  遇到連結時，您檢查網址真實性的頻率？  ,  若您懷疑 Email 有問題，您平常的處理方式是？  ,  您對自己辨識釣魚郵件的能力有多少信心？  ,variant,participant_id
大學以下,從來沒使用過,沒有,5,5,3,忽略,3,A,P0042
大學,從來沒使用過,沒有,5,4,3,刪除,3,A,P0043
研究所,每週 1 次以下,有,4,3,3,問同學/朋友,4,B,P0044
大學,從來沒使用過,沒有,2,2,5,問同學/朋友,4,B,P0045
研究所,從來沒使用過,沒有,4,5,5,回報給學校或 IT 單位,5,B,P0046
研究所,每週 1 次以下,沒有,4,1,4,忽略,2,B,P0047
大學,每週 2–5 次,沒有,4,4,4,刪除,3,B,P0048
研究所,從來沒使用過,沒有,2,3,2,刪除,3,B,P0049
大學,幾乎不用,有,4,5,5,刪除,4,B,P0050
研究所,每週 1 次以下,有,4,3,4,忽略,4,B,P0051
研究所,從來沒使用過,沒有,3,4,5,問同學/朋友,3,B,P0052
大學,從來沒使用過,沒有,4,4,4,刪除,3,B,P0053
研究所,從來沒使用過,沒有,5,4,4,刪除,4,B,P0054
研究所,每週 2–5 次,沒有,4,5,4,回報給學校或 IT 單位,5,B,P0055
大學以下,幾乎不用,沒有,4,3,4,刪除,3,B,P0056
研究所,幾乎不用,有,5,4,3,刪除,2,B,P0057
大學,每天,沒有,4,5,4,忽略,3,B,P0058
大學,每週 1 次以下,沒有,3,1,3,忽略,3,B,P0059
大學,幾乎不用,有,3,4,3,刪除,2,B,P0060
研究所,從來沒使用過,沒有,4,1,4,忽略,3,B,P0061
其他,每週 2–5 次,沒有,2,4,3,刪除,3,B,P0062
大學,從來沒使用過,有,3,3,3,忽略,2,B,P0063
研究所,從來沒使用過,沒有,5,4,4,回報給學校或 IT 單位,3,B,P0064
研究所,幾乎不用,沒有,5,4,4,刪除,4,B,P0065
大學以下,從來沒使用過,沒有,4,4,4,問同學/朋友,4,B,P0066
大學,幾乎不用,有,5,5,5,回報給學校或 IT 單位,5,B,P0067
大學,每天,沒有,5,4,3,回報給學校或 IT 單位,3,B,P0068
研究所,從來沒使用過,沒有,5,4,5,問同學/朋友,4,B,P0069
研究所,幾乎不用,沒有,3,3,2,忽略,2,B,P0070
研究所,幾乎不用,沒有,5,5,4,忽略,3,B,P0071
研究所,從來沒使用過,沒有,3,2,4,問同學/朋友,4,B,P0072
大學,幾乎不用,沒有,3,3,3,忽略,2,B,P0073
大學以下,從來沒使用過,沒有,5,5,3,問同學/朋友,3,B,P0074
研究所,從來沒使用過,有,2,1,2,回報給學校或 IT 單位,2,B,P0075
研究所,幾乎不用,沒有,4,4,4,問同學/朋友,3,B,P0076
大學以下,從來沒使用過,沒有,4,3,3,刪除,3,B,P0077
研究所,每週 2–5 次,有,2,2,2,回報給學校或 IT 單位,2,B,P0078
大學以下,每週 2–5 次,有,4,4,4,問同學/朋友,4,B,P0079
研究所,每天,沒有,5,4,4,回報給學校或 IT 單位,5,B,P0080
大學,每天,沒有,5,5,4,刪除,4,B,P0081
大學以下,從來沒使用過,沒有,5,1,3,忽略,1,B,P0082
大學,從來沒使用過,沒有,5,5,3,忽略,5,B,P0083
大學,從來沒使用過,有,1,2,1,回報給學校或 IT 單位,1,B,P0084
大學,每週 1 次以下,沒有,4,3,4,忽略,4,B,P0085
研究所,從來沒使用過,沒有,4,4,3,問同學/朋友,3,B,P0086
大學,幾乎不用,沒有,5,4,3,刪除,5,B,P0087
大學以下,每週 1 次以下,沒有,2,4,3,忽略,4,B,P0088
大學以下,從來沒使用過,有,2,3,2,忽略,2,B,P0089
大學以下,從來沒使用過,有,1,1,1,回報給學校或 IT 單位,1,B,P0090
大學以下,每週 2–5 次,沒有,2,2,2,問同學/朋友,2,B,P0091
研究所,每週 2–5 次,沒有,5,5,4,忽略,4,B,P0092
大學,幾乎不用,有,3,5,4,忽略,4,C,P0093
研究所,從來沒使用過,有,3,3,3,問同學/朋友,4,C,P0094
研究所,每週 2–5 次,有,1,5,5,忽略,5,C,P0095
研究所,每週 1 次以下,有,3,4,4,刪除,3,C,P0096
大學,從來沒使用過,沒有,3,3,3,刪除,3,C,P0097
大學以下,從來沒使用過,有,3,1,1,忽略,3,C,P0098
研究所,從來沒使用過,有,3,2,4,忽略,4,C,P0099
其他,每週 1 次以下,有,3,4,4,刪除,2,C,P0100
大學,從來沒使用過,沒有,5,3,3,忽略,2,C,P0101
研究所,從來沒使用過,沒有,2,2,3,刪除,3,C,P0102
大學,從來沒使用過,有,5,3,4,問同學/朋友,2,C,P0103
研究所,從來沒使用過,沒有,3,3,4,回報給學校或 IT 單位,3,C,P0104
大學以下,從來沒使用過,沒有,4,2,2,刪除,1,C,P0105
研究所,從來沒使用過,有,3,5,5,問同學/朋友,5,C,P0106
大學,每週 2–5 次,有,4,4,2,忽略,3,C,P0107
研究所,從來沒使用過,有,5,1,2,問同學/朋友,3,C,P0108
大學,從來沒使用過,沒有,3,2,3,問同學/朋友,3,C,P0109
大學,每週 2–5 次,有,5,3,5,回報給學校或 IT 單位,5,C,P0110
大學,從來沒使用過,有,2,4,4,問同學/朋友,3,C,P0111
大學,每天,沒有,4,4,3,忽略,4,C,P0112
大學,幾乎不用,沒有,2,3,1,刪除,2,C,P0113
研究所,從來沒使用過,沒有,3,3,4,忽略,4,C,P0114
大學以下,從來沒使用過,有,1,4,3,刪除,3,C,P0115
大學,每週 2–5 次,沒有,4,4,3,回報給學校或 IT 單位,4,C,P0116
大學以下,從來沒使用過,有,4,4,4,問同學/朋友,3,C,P0117
研究所,從來沒使用過,沒有,4,4,4,刪除,4,C,P0118
研究所,從來沒使用過,沒有,5,3,4,刪除,4,C,P0119
研究所,每週 1 次以下,有,5,3,4,忽略,5,C,P0120
研究所,每天,有,4,3,3,忽略,4,C,P0121
大學,幾乎不用,沒有,4,4,4,問同學/朋友,3,C,P0122
大學,每週 2–5 次,沒有,4,4,3,忽略,4,C,P0123
大學,每週 2–5 次,沒有,5,3,5,問同學/朋友,4,C,P0124
研究所,每天,沒有,5,5,3,問同學/朋友,4,C,P0125
大學,幾乎不用,沒有,4,3,4,忽略,4,C,P0126
大學,幾乎不用,沒有,5,4,3,刪除,4,C,P0127
研究所,每天,沒有,5,5,4,忽略,5,C,P0128
大學,每天,沒有,3,4,2,忽略,3,C,P0129
研究所,每週 1 次以下,有,1,2,2,刪除,2,C,P0130
研究所,從來沒使用過,有,4,2,5,忽略,4,D,P0131
大學,每週 1 次以下,沒有,3,4,3,刪除,3,D,P0132
大學,每週 2–5 次,沒有,4,3,4,忽略,3,D,P0133
大學,每週 2–5 次,有,2,1,4,忽略,4,D,P0134
研究所,從來沒使用過,沒有,4,3,2,刪除,4,D,P0135
大學,從來沒使用過,沒有,4,3,1,回報給學校或 IT 單位,1,D,P0136
其他,從來沒使用過,沒有,4,5,5,刪除,5,D,P0137
研究所,從來沒使用過,有,5,4,5,刪除,3,D,P0138
研究所,從來沒使用過,沒有,1,3,2,忽略,3,D,P0139
研究所,每天,有,3,3,2,忽略,4,D,P0140
大學,從來沒使用過,沒有,3,2,4,忽略,3,D,P0141
研究所,從來沒使用過,沒有,4,3,3,刪除,3,D,P0142
大學,從來沒使用過,沒有,5,2,3,問同學/朋友,4,D,P0143
其他,從來沒使用過,沒有,4,3,3,忽略,3,D,P0144
大學,從來沒使用過,沒有,2,1,3,回報給學校或 IT 單位,2,D,P0145
大學,從來沒使用過,沒有,3,4,4,問同學/朋友,4,D,P0146
大學,從來沒使用過,沒有,5,5,3,問同學/朋友,3,D,P0147
研究所,幾乎不用,沒有,3,2,5,忽略,3,D,P0148
大學,從來沒使用過,有,5,4,4,刪除,4,D,P0149
大學,從來沒使用過,沒有,5,2,5,忽略,5,D,P0150
研究所,幾乎不用,有,4,4,4,忽略,4,D,P0151
研究所,從來沒使用過,沒有,1,2,1,忽略,2,D,P0152
研究所,從來沒使用過,有,4,3,4,刪除,3,D,P0153
大學,從來沒使用過,有,4,3,4,刪除,3,D,P0154
研究所,從來沒使用過,沒有,4,4,4,問同學/朋友,4,D,P0155
大學,每天,沒有,4,3,4,問同學/朋友,4,D,P0156
研究所,每天,沒有,4,4,4,刪除,4,D,P0157
大學以下,從來沒使用過,有,1,1,1,問同學/朋友,2,D,P0158
大學,每天,沒有,3,1,1,刪除,2,D,P0159
研究所,每週 2–5 次,有,3,2,3,回報給學校或 IT 單位,3,D,P0160
大學,每週 2–5 次,沒有,4,4,2,回報給學校或 IT 單位,4,D,P0161
研究所,每週 1 次以下,沒有,5,3,4,忽略,4,D,P0162
研究所,幾乎不用,沒有,5,3,4,問同學/朋友,5,D,P0163
研究所,幾乎不用,沒有,4,2,4,刪除,4,D,P0164
大學,幾乎不用,沒有,4,2,4,回報給學校或 IT 單位,3,D,P0165
大學以下,從來沒使用過,沒有,2,1,1,刪除,3,D,P0166
大學,從來沒使用過,有,5,4,5,忽略,3,D,P0167
大學,幾乎不用,有,3,2,3,忽略,3,D,P0168
大學,從來沒使用過,沒有,3,2,2,忽略,4,E,P0169
研究所,從來沒使用過,沒有,4,3,3,忽略,2,E,P0170
大學,每週 2–5 次,沒有,4,1,2,問同學/朋友,4,E,P0171
大學以下,從來沒使用過,有,4,4,5,問同學/朋友,3,E,P0172
研究所,每週 2–5 次,有,5,1,4,忽略,5,E,P0173
大學,幾乎不用,沒有,4,2,3,刪除,4,E,P0174
大學,幾乎不用,沒有,4,5,5,問同學/朋友,4,E,P0175
研究所,從來沒使用過,沒有,5,3,1,忽略,3,E,P0176
大學,每週 2–5 次,有,4,5,5,刪除,5,E,P0177
研究所,從來沒使用過,沒有,3,4,5,問同學/朋友,4,E,P0178
研究所,每週 2–5 次,有,2,5,4,忽略,3,E,P0179
研究所,幾乎不用,沒有,4,2,3,忽略,3,E,P0180
大學,從來沒使用過,有,4,1,5,忽略,1,E,P0181
大學,每天,沒有,5,5,2,問同學/朋友,2,E,P0182
大學,每週 2–5 次,有,4,4,4,刪除,4,E,P0183
研究所,從來沒使用過,沒有,2,3,2,忽略,3,E,P0184
研究所,每週 1 次以下,沒有,4,1,2,問同學/朋友,3,E,P0185
大學,從來沒使用過,有,5,3,3,問同學/朋友,5,E,P0186
大學,每週 2–5 次,沒有,4,4,4,忽略,3,E,P0187
大學,從來沒使用過,沒有,5,3,4,回報給學校或 IT 單位,4,E,P0188
研究所,每天,有,4,4,2,問同學/朋友,4,E,P0189
大學以下,從來沒使用過,沒有,4,4,4,忽略,4,E,P0190
研究所,每週 2–5 次,有,4,4,3,回報給學校或 IT 單位,2,E,P0191
研究所,每週 2–5 次,沒有,4,4,3,回報給學校或 IT 單位,3,E,P0192
研究所,每週 2–5 次,有,5,4,3,問同學/朋友,3,E,P0193
大學以下,幾乎不用,沒有,1,2,2,回報給學校或 IT 單位,1,E,P0194
大學,從來沒使用過,沒有,4,2,2,問同學/朋友,3,E,P0195
大學以下,每週 2–5 次,沒有,4,3,4,忽略,2,E,P0196
研究所,每天,沒有,3,3,3,忽略,2,E,P0197
大學,從來沒使用過,沒有,1,1,1,問同學/朋友,1,E,P0198
研究所,從來沒使用過,沒有,4,4,2,忽略,3,E,P0199
大學以下,每週 2–5 次,有,4,3,4,刪除,3,E,P0200
大學,從來沒使用過,沒有,5,4,3,刪除,3,E,P0201
研究所,每週 2–5 次,沒有,5,4,5,問同學/朋友,3,E,P0202
大學,每週 2–5 次,沒有,5,1,1,刪除,2,E,P0203
大學,每天,有,2,2,3,刪除,2,E,P0204
大學,每週 2–5 次,沒有,4,4,3,忽略,3,E,P0205
研究所,每週 2–5 次,沒有,5,4,4,忽略,3,E,P0206
大學以下,從來沒使用過,沒有,4,3,4,刪除,4,E,P0207
大學,每天,有,4,4,4,刪除,4,E,P0208
研究所,每週 1 次以下,有,4,5,4,刪除,4,E,P0209
